Item Description,tag,flow_rate,fluid_head,rpm,spec_gravity,power_kw,useful_kw,diameter_proxy,weight_kg
19-P001 A/B,19P001AB,1.5,25.0,1800.0,15.0,0.9333333333333335,37.5,0.002777777776234568,280.0
"H-101/1,2",H-10112,44.0,1150.0,3600.0,200.0,0.5333333333333333,50600.0,0.00941990275172401,11200.0
"H-103/1,2",H-10312,40.0,1150.0,3600.0,200.0,0.5333333333333333,46000.0,0.00941990275172401,11000.0
"H-201/1,2",H-20112,17.0,40.0,1800.0,15.0,0.7666666666666667,680.0,0.003513641842679509,480.0
"H-301/1,2",H-30112,26.0,200.0,3600.0,50.0,1.1333333333333335,5200.0,0.003928371005500717,3300.0
"H-302/1,2",H-30212,486.0,30.0,1800.0,100.0,1.1833333333333333,14580.0,0.003042903095560421,3100.0
"H-501/1,2",H-50112,2.0,45.0,3600.0,50.0,1.5666666666666667,90.0,0.0018633899807322166,370.0
"H-502/1,2",H-50212,14.0,40.0,1800.0,15.0,0.7666666666666667,560.0,0.003513641842679509,450.0
"H-601/1,2",H-60112,65.0,80.0,3600.0,50.0,1.5666666666666667,5200.0,0.0024845199743096223,860.0
"H-603/1,2",H-60312,42.0,190.0,3600.0,50.0,1.3499999999999999,7980.0,0.0038289024300725886,3600.0
"H-701/1,2",H-70112,24.0,150.0,3600.0,50.0,1.5666666666666667,3600.0,0.0034020690862538393,3000.0
"H-702/1,2",H-70212,7.0,160.0,3600.0,50.0,1.1333333333333333,1120.0,0.0035136418436555214,2700.0
"H-703/1,2",H-70312,2.0,115.0,3600.0,50.0,1.1333333333333335,230.0,0.002978834803273548,440.0
"H-704/1,2",H-70412,144.0,120.0,1800.0,15.0,1.4333333333333336,17280.0,0.006085806191120842,1700.0
"H-705/1,2",H-70512,24.0,340.0,3600.0,200.0,0.3666666666666667,8160.0,0.005121969141517723,4300.0
"H-706/1,2",H-70612,230.5,30.0,1800.0,100.0,1.1833333333333333,6915.0,0.003042903095560421,1700.0
"H-707/1,2",H-70712,5.0,40.0,1800.0,15.0,1.1,200.0,0.003513641842679509,380.0
"H-708/1,2",H-70812,22.0,70.0,3600.0,50.0,0.9166666666666666,1540.0,0.00232405562861575,500.0
H-602/1-4,H60214,1.0,115.0,3600.0,50.0,1.1333333333333335,115.0,0.002978834803273548,430.0
P-901/2,P-9012,2.0,42.0,1800.0,15.0,0.9333333333333335,84.0,0.003600411497115249,360.0
P-011 A/B,P011AB,0.002,10.0,1800.0,15.0,1.1,0.02,0.0017568209213397546,220.0
P-101 A/B,P101AB,19.8,395.0,3600.0,200.0,102.0,7821.0,0.005520724141341963,4500.0
P-102,P102,22.0,140.0,3600.0,50.0,50.0,3080.0,0.0032867109896979226,2800.0
P-1200 A/B,P1200AB,5.0,62.0,3600.0,50.0,0.9166666666666666,310.0,0.002187224408840163,330.0
P-1201 A/B,P1201AB,13.0,47.0,1800.0,15.0,0.9333333333333335,611.0,0.003808696998106859,490.0
