tag,length_ft,width_in,flow_tph,belt_surface_area,weight_kg
P11,5.0,450.0,30.0,2250.0,953.0
P12,5.0,450.0,45.0,2250.0,953.0
P13,5.0,450.0,60.0,2250.0,953.0
P14,5.0,450.0,75.0,2250.0,953.0
P15,5.0,450.0,90.0,2250.0,953.0
P16,5.0,450.0,105.0,2250.0,998.0
P17,5.0,450.0,120.0,2250.0,998.0
P18,5.0,450.0,135.0,2250.0,998.0
P19,5.0,450.0,150.0,2250.0,1043.0
P20,5.0,450.0,165.0,2250.0,1043.0
P21,5.0,466.6666666666667,30.0,2333.3333333333335,998.0
P22,5.0,466.6666666666667,45.0,2333.3333333333335,998.0
P23,5.0,466.6666666666667,60.0,2333.3333333333335,998.0
P24,5.0,466.6666666666667,75.0,2333.3333333333335,1043.0
P25,5.0,466.6666666666667,90.0,2333.3333333333335,1043.0
P26,5.0,466.6666666666667,105.0,2333.3333333333335,1043.0
P27,5.0,466.6666666666667,120.0,2333.3333333333335,1043.0
P28,5.0,466.6666666666667,135.0,2333.3333333333335,1043.0
P29,5.0,466.6666666666667,150.0,2333.3333333333335,1134.0
P30,5.0,466.6666666666667,165.0,2333.3333333333335,1134.0
P31,5.0,483.3333333333333,30.0,2416.6666666666665,998.0
P32,5.0,483.3333333333333,45.0,2416.6666666666665,998.0
P33,5.0,483.3333333333333,60.0,2416.6666666666665,1043.0
P34,5.0,483.3333333333333,75.0,2416.6666666666665,1043.0
P35,5.0,483.3333333333333,90.0,2416.6666666666665,1043.0
P36,5.0,483.3333333333333,105.0,2416.6666666666665,1043.0
P37,5.0,483.3333333333333,120.0,2416.6666666666665,1043.0
P38,5.0,483.3333333333333,135.0,2416.6666666666665,1043.0
P39,5.0,483.3333333333333,150.0,2416.6666666666665,1134.0
P40,5.0,483.3333333333333,165.0,2416.6666666666665,1134.0
P41,5.0,500.0,30.0,2500.0,998.0
P42,5.0,500.0,45.0,2500.0,998.0
P43,5.0,500.0,60.0,2500.0,1043.0
P44,5.0,500.0,75.0,2500.0,1043.0
P45,5.0,500.0,90.0,2500.0,1043.0
P46,5.0,500.0,105.0,2500.0,1043.0
P47,5.0,500.0,120.0,2500.0,1134.0
P48,5.0,500.0,135.0,2500.0,1134.0
P49,5.0,500.0,150.0,2500.0,1134.0
P50,5.0,500.0,165.0,2500.0,1134.0
P51,5.0,516.6666666666666,30.0,2583.333333333333,1043.0
P52,5.0,516.6666666666666,45.0,2583.333333333333,1043.0
P53,5.0,516.6666666666666,60.0,2583.333333333333,1043.0
P54,5.0,516.6666666666666,75.0,2583.333333333333,1043.0
P55,5.0,516.6666666666666,90.0,2583.333333333333,1043.0
P56,5.0,516.6666666666666,105.0,2583.333333333333,1043.0
P57,5.0,516.6666666666666,120.0,2583.333333333333,1134.0
P58,5.0,516.6666666666666,135.0,2583.333333333333,1134.0
P59,5.0,516.6666666666666,150.0,2583.333333333333,1134.0
