tag,liq_volume,ves_diameter,ss_distance,Design gauge pressure KPAG,des_temp,oper_temp,eq_footpr_x,eq_footpr_y,eq_footpr_z,eq_saf_dim_x,eq_saf_dim_y,eq_saf_dim_z,volume_proxy,surface_area,heads_proxy,aspect_ratio,weight_kg
V504,5.0,1.2,4.4213,,,60.0,5.6213,1.2,1.2,8.6693,4.248,4.248,6.366671999999999,5.305559999999999,1.44,3.6844166666666665,1600
R601,74.0,2.5,15.076,2500.0,300.0,300.0,17.576,2.5,2.5,20.624,5.548,5.548,94.22500000000001,37.69,6.25,6.0304,37000
V610,5.0,1.2,4.4213,200.0,,-20.0,5.6213,1.2,1.2,8.6693,4.248,4.248,6.366671999999999,5.305559999999999,1.44,3.6844166666666665,1600
V710,9.0,1.5,5.0933,200.0,,-30.0,6.5933,1.5,1.5,9.6413,4.548,4.548,11.459925,7.639950000000001,2.25,3.3955333333333333,2300
V801,41.0,2.25,10.312,2300.0,,113.0,12.562,2.25,2.25,15.61,5.298,5.298,52.204499999999996,23.201999999999998,5.0625,4.583111111111111,20700
V810,9.0,1.5,5.0933,,,70.0,6.5933,1.5,1.5,9.6413,4.548,4.548,11.459925,7.639950000000001,2.25,3.3955333333333333,2300
R104,24.0,2.25,6.0365,,500.0,500.0,8.2865,2.25,2.25,11.335,5.298,5.298,30.55978125,13.582125000000001,5.0625,2.682888888888889,3100
S104,74.0,2.5,15.076,12260.0,,327.0,17.576,2.5,2.5,20.624,5.548,5.548,94.22500000000001,37.69,6.25,6.0304,154300
S301,420.0,4.4999,26.41,390.0,,70.0,30.91,4.4999,4.4999,33.958,7.5479,7.5479,534.7787312641001,118.842359,20.249100010000003,5.8690193115402565,52300
V310,20.0,2.25,5.0304,,,100.0,7.2804,2.25,2.25,10.328,5.298,5.298,25.4664,11.3184,5.0625,2.2357333333333336,3600
E100,,4.3,1.6,,,,5.9,4.3,4.3,8.948,7.348,7.348,29.584,6.88,18.49,0.372093023255814,5200
T102,,2.0,5.0,,,,7.0,2.0,2.0,10.048,5.048,5.048,20.0,10.0,4.0,2.5,3200
K702,,4.0,2.0,,,,6.0,4.0,4.0,9.048,7.048,7.048,32.0,8.0,16.0,0.5,5000
X101,,0.4,2.2,,,,2.6,0.4,0.4,5.648,3.448,3.448,0.3520000000000001,0.8800000000000001,0.16000000000000003,5.5,320
F161AB,,1.4,4.5,,,,5.9,1.4,1.4,8.948,4.448,4.448,8.819999999999999,6.3,1.9599999999999997,3.2142857142857144,1900
