tag,diameter,ss_dist,pressure,trays_num,weight_kg
,,,,,
P11,1.0,19.0,600.0,20.0,7800.0
P12,1.0,19.0,600.0,21.0,7900.0
P13,1.0,19.0,600.0,22.0,8000.0
P14,1.0,19.0,600.0,23.0,8100.0
P15,1.0,19.0,600.0,24.0,8200.0
P16,1.0,19.0,600.0,25.0,8300.0
P17,1.0,19.0,700.0,20.0,7800.0
P18,1.0,19.0,700.0,21.0,7900.0
P19,1.0,19.0,700.0,22.0,8000.0
P20,1.0,19.0,700.0,23.0,8100.0
P21,1.0,19.0,700.0,24.0,8200.0
P22,1.0,19.0,700.0,25.0,8300.0
P23,1.0,19.0,800.0,20.0,7800.0
P24,1.0,19.0,800.0,21.0,7900.0
P25,1.0,19.0,800.0,22.0,8000.0
P26,1.0,19.0,800.0,23.0,8100.0
P27,1.0,19.0,800.0,24.0,8200.0
P28,1.0,19.0,800.0,25.0,8300.0
P29,1.0,19.0,900.0,20.0,8400.0
P30,1.0,19.0,900.0,21.0,8500.0
P31,1.0,19.0,900.0,22.0,8600.0
P32,1.0,19.0,900.0,23.0,8700.0
P33,1.0,19.0,900.0,24.0,8800.0
P34,1.0,19.0,900.0,25.0,8900.0
P35,1.0,19.0,1000.0,20.0,8400.0
P36,1.0,19.0,1000.0,21.0,8500.0
P37,1.0,19.0,1000.0,22.0,8600.0
P38,1.0,19.0,1000.0,23.0,8700.0
P39,1.0,19.0,1000.0,24.0,8800.0
P40,1.0,19.0,1000.0,25.0,8900.0
P41,1.0,19.0,1100.0,20.0,8400.0
P42,1.0,19.0,1100.0,21.0,8500.0
P43,1.0,19.0,1100.0,22.0,8600.0
P44,1.0,19.0,1100.0,23.0,8700.0
P45,1.0,19.0,1100.0,24.0,8800.0
P46,1.0,19.0,1100.0,25.0,8900.0
P47,1.0,19.8,600.0,20.0,8000.0
P48,1.0,19.8,600.0,21.0,8100.0
P49,1.0,19.8,600.0,22.0,8200.0
P50,1.0,19.8,600.0,23.0,8300.0
P51,1.0,19.8,600.0,24.0,8400.0
P52,1.0,19.8,600.0,25.0,8500.0
P53,1.0,19.8,700.0,20.0,8000.0
P54,1.0,19.8,700.0,21.0,8100.0
P55,1.0,19.8,700.0,22.0,8200.0
P56,1.0,19.8,700.0,23.0,8300.0
P57,1.0,19.8,700.0,24.0,8400.0
P58,1.0,19.8,700.0,25.0,8500.0
P59,1.0,19.8,800.0,20.0,8000.0
P60,1.0,19.8,800.0,21.0,8100.0
P61,1.0,19.8,800.0,22.0,8200.0
P62,1.0,19.8,800.0,23.0,8300.0
P63,1.0,19.8,800.0,24.0,8400.0
P64,1.0,19.8,800.0,25.0,8500.0
P65,1.0,19.8,900.0,20.0,8600.0
P66,1.0,19.8,900.0,21.0,8700.0
P67,1.0,19.8,900.0,22.0,8800.0
P68,1.0,19.8,900.0,23.0,8900.0
P69,1.0,19.8,900.0,24.0,9000.0
P70,1.0,19.8,900.0,25.0,9100.0
P71,1.0,19.8,1000.0,20.0,8700.0
P72,1.0,19.8,1000.0,21.0,8800.0
P73,1.0,19.8,1000.0,22.0,8900.0
P74,1.0,19.8,1000.0,23.0,9000.0
P75,1.0,19.8,1000.0,24.0,9100.0
P76,1.0,19.8,1000.0,25.0,9200.0
P77,1.0,19.8,1100.0,20.0,8700.0
P78,1.0,19.8,1100.0,21.0,8800.0
P79,1.0,19.8,1100.0,22.0,8900.0
P80,1.0,19.8,1100.0,23.0,9000.0
P81,1.0,19.8,1100.0,24.0,9100.0
P82,1.0,19.8,1100.0,25.0,9200.0
P83,1.0,20.6,600.0,20.0,8100.0
P84,1.0,20.6,600.0,21.0,8200.0
P85,1.0,20.6,600.0,22.0,8300.0
P86,1.0,20.6,600.0,23.0,8400.0
P87,1.0,20.6,600.0,24.0,8500.0
P88,1.0,20.6,600.0,25.0,8600.0
P89,1.0,20.6,700.0,20.0,8100.0
P90,1.0,20.6,700.0,21.0,8200.0
P91,1.0,20.6,700.0,22.0,8300.0
P92,1.0,20.6,700.0,23.0,8400.0
P93,1.0,20.6,700.0,24.0,8500.0
P94,1.0,20.6,700.0,25.0,8600.0
P95,1.0,20.6,800.0,20.0,8100.0
P96,1.0,20.6,800.0,21.0,8200.0
P97,1.0,20.6,800.0,22.0,8300.0
P98,1.0,20.6,800.0,23.0,8400.0
P99,1.0,20.6,800.0,24.0,8500.0
P100,1.0,20.6,800.0,25.0,8600.0
P101,1.0,20.6,900.0,20.0,8700.0
P102,1.0,20.6,900.0,21.0,8800.0
P103,1.0,20.6,900.0,22.0,8900.0
P104,1.0,20.6,900.0,23.0,9000.0
P105,1.0,20.6,900.0,24.0,9100.0
P106,1.0,20.6,900.0,25.0,9200.0
P107,1.0,20.6,1000.0,20.0,8800.0
P108,1.0,20.6,1000.0,21.0,8900.0
P109,1.0,20.6,1000.0,22.0,9000.0
P110,1.0,20.6,1000.0,23.0,9100.0
P111,1.0,20.6,1000.0,24.0,9200.0
P112,1.0,20.6,1000.0,25.0,9300.0
P113,1.0,20.6,1100.0,20.0,8800.0
P114,1.0,20.6,1100.0,21.0,8900.0
P115,1.0,20.6,1100.0,22.0,9000.0
P116,1.0,20.6,1100.0,23.0,9100.0
P117,1.0,20.6,1100.0,24.0,9200.0
P118,1.0,20.6,1100.0,25.0,9300.0
P119,1.0,21.4,600.0,20.0,8300.0
P120,1.0,21.4,600.0,21.0,8400.0
P121,1.0,21.4,600.0,22.0,8500.0
P122,1.0,21.4,600.0,23.0,8600.0
P123,1.0,21.4,600.0,24.0,8700.0
P124,1.0,21.4,600.0,25.0,8800.0
P125,1.0,21.4,700.0,20.0,8300.0
P126,1.0,21.4,700.0,21.0,8400.0
P127,1.0,21.4,700.0,22.0,8500.0
P128,1.0,21.4,700.0,23.0,8600.0
P129,1.0,21.4,700.0,24.0,8700.0
P130,1.0,21.4,700.0,25.0,8800.0
P131,1.0,21.4,800.0,20.0,8300.0
P132,1.0,21.4,800.0,21.0,8400.0
P133,1.0,21.4,800.0,22.0,8500.0
P134,1.0,21.4,800.0,23.0,8600.0
P135,1.0,21.4,800.0,24.0,8700.0
P136,1.0,21.4,800.0,25.0,8800.0
P137,1.0,21.4,900.0,20.0,8900.0
P138,1.0,21.4,900.0,21.0,9000.0
P139,1.0,21.4,900.0,22.0,9100.0
P140,1.0,21.4,900.0,23.0,9200.0
P141,1.0,21.4,900.0,24.0,9300.0
P142,1.0,21.4,900.0,25.0,9400.0
P143,1.0,21.4,1000.0,20.0,9000.0
P144,1.0,21.4,1000.0,21.0,9100.0
P145,1.0,21.4,1000.0,22.0,9200.0
P146,1.0,21.4,1000.0,23.0,9300.0
P147,1.0,21.4,1000.0,24.0,9400.0
P148,1.0,21.4,1000.0,25.0,9500.0
P149,1.0,21.4,1100.0,20.0,9000.0
P150,1.0,21.4,1100.0,21.0,9100.0
P151,1.0,21.4,1100.0,22.0,9200.0
