tag,heat_area,tube_des_pres,tube_out_diameter,tube_len,shell_diameter,weight_kg
P11,19.23,50.0,16.0,2.5,325.0,1080.0
P12,29.99,50.0,16.0,3.9,325.0,1340.0
P13,40.76,50.0,16.0,5.3,325.0,1660.0
P14,51.53,50.0,16.0,6.699999999999999,325.0,1980.0
P15,62.29,50.0,16.0,8.1,325.0,2200.0
P16,73.06,50.0,16.0,9.5,325.0,2600.0
P17,17.2,50.0,17.8,2.5,325.0,1060.0
P18,26.82,50.0,17.8,3.9,325.0,1300.0
P19,36.45,50.0,17.8,5.3,325.0,1620.0
P20,46.08,50.0,17.8,6.699999999999999,325.0,1920.0
P21,55.71,50.0,17.8,8.1,325.0,2200.0
P22,65.34,50.0,17.8,9.5,325.0,2400.0
P23,15.55,50.0,19.6,2.5,325.0,1040.0
P24,24.25,50.0,19.6,3.9,325.0,1280.0
P25,32.96,50.0,19.6,5.3,325.0,1580.0
P26,41.67,50.0,19.6,6.699999999999999,325.0,1860.0
P27,50.37,50.0,19.6,8.1,325.0,2200.0
P28,59.08,50.0,19.6,9.5,325.0,2400.0
P29,14.29,50.0,21.4,2.5,325.0,1040.0
P30,22.29,50.0,21.4,3.9,325.0,1260.0
P31,30.29,50.0,21.4,5.3,325.0,1580.0
P32,38.29,50.0,21.4,6.699999999999999,325.0,1860.0
P33,46.29,50.0,21.4,8.1,325.0,2200.0
P34,54.29,50.0,21.4,9.5,325.0,2400.0
P35,13.12,50.0,23.2,2.5,325.0,1020.0
P36,20.47,50.0,23.2,3.9,325.0,1240.0
P37,27.81,50.0,23.2,5.3,325.0,1540.0
P38,35.16,50.0,23.2,6.699999999999999,325.0,1820.0
P39,42.51,50.0,23.2,8.1,325.0,2000.0
P40,49.85,50.0,23.2,9.5,325.0,2400.0
P41,12.17,50.0,25.0,2.5,325.0,1020.0
P42,18.99,50.0,25.0,3.9,325.0,1220.0
P43,25.81,50.0,25.0,5.3,325.0,1520.0
P44,32.63,50.0,25.0,6.699999999999999,325.0,1780.0
P45,39.44,50.0,25.0,8.1,325.0,2000.0
P46,46.26,50.0,25.0,9.5,325.0,2200.0
P47,30.16,50.0,16.0,2.5,400.8333333333333,1440.0
P48,47.05,50.0,16.0,3.9,400.8333333333333,1800.0
P49,63.94,50.0,16.0,5.3,400.8333333333333,2200.0
P50,80.83,50.0,16.0,6.699999999999999,400.8333333333333,2600.0
P51,97.72,50.0,16.0,8.1,400.8333333333333,3000.0
P52,114.61,50.0,16.0,9.5,400.8333333333333,3400.0
P53,27.12,50.0,17.8,2.5,400.8333333333333,1400.0
P54,42.31,50.0,17.8,3.9,400.8333333333333,1740.0
P55,57.5,50.0,17.8,5.3,400.8333333333333,2200.0
P56,72.69,50.0,17.8,6.699999999999999,400.8333333333333,2600.0
P57,87.87,50.0,17.8,8.1,400.8333333333333,3000.0
P58,103.06,50.0,17.8,9.5,400.8333333333333,3400.0
P59,24.63,50.0,19.6,2.5,400.8333333333333,1380.0
P60,38.42,50.0,19.6,3.9,400.8333333333333,1700.0
P61,52.22,50.0,19.6,5.3,400.8333333333333,2200.0
P62,66.01,50.0,19.6,6.699999999999999,400.8333333333333,2600.0
P63,79.8,50.0,19.6,8.1,400.8333333333333,2800.0
P64,93.59,50.0,19.6,9.5,400.8333333333333,3200.0
P65,22.52,50.0,21.4,2.5,400.8333333333333,1400.0
P66,35.13,50.0,21.4,3.9,400.8333333333333,1720.0
P67,47.75,50.0,21.4,5.3,400.8333333333333,2000.0
P68,60.36,50.0,21.4,6.699999999999999,400.8333333333333,2600.0
P69,72.97,50.0,21.4,8.1,400.8333333333333,2800.0
P70,85.58,50.0,21.4,9.5,400.8333333333333,3200.0
P71,20.77,50.0,23.2,2.5,400.8333333333333,1380.0
P72,32.4,50.0,23.2,3.9,400.8333333333333,1680.0
P73,44.04,50.0,23.2,5.3,400.8333333333333,2000.0
P74,55.67,50.0,23.2,6.699999999999999,400.8333333333333,2400.0
P75,67.3,50.0,23.2,8.1,400.8333333333333,2800.0
P76,78.93,50.0,23.2,9.5,400.8333333333333,3200.0
P77,19.24,50.0,25.0,2.5,400.8333333333333,1360.0
P78,30.02,50.0,25.0,3.9,400.8333333333333,1660.0
P79,40.79,50.0,25.0,5.3,400.8333333333333,2000.0
P80,51.57,50.0,25.0,6.699999999999999,400.8333333333333,2400.0
P81,62.34,50.0,25.0,8.1,400.8333333333333,2600.0
P82,73.12,50.0,25.0,9.5,400.8333333333333,3000.0
P83,43.48,50.0,16.0,2.5,476.6666666666666,2000.0
P84,67.83,50.0,16.0,3.9,476.6666666666666,2400.0
P85,92.18,50.0,16.0,5.3,476.6666666666666,3000.0
P86,116.53,50.0,16.0,6.699999999999999,476.6666666666666,3600.0
P87,140.87,50.0,16.0,8.1,476.6666666666666,4200.0
P88,165.22,50.0,16.0,9.5,476.6666666666666,4800.0
P89,39.14,50.0,17.8,2.5,476.6666666666666,1960.0
P90,61.07,50.0,17.8,3.9,476.6666666666666,2400.0
P91,82.99,50.0,17.8,5.3,476.6666666666666,3000.0
P92,104.91,50.0,17.8,6.699999999999999,476.6666666666666,3600.0
P93,126.83,50.0,17.8,8.1,476.6666666666666,4000.0
P94,148.75,50.0,17.8,9.5,476.6666666666666,4600.0
P95,35.56,50.0,19.6,2.5,476.6666666666666,1920.0
P96,55.47,50.0,19.6,3.9,476.6666666666666,2400.0
P97,75.39,50.0,19.6,5.3,476.6666666666666,3000.0
P98,95.3,50.0,19.6,6.699999999999999,476.6666666666666,3400.0
P99,115.21,50.0,19.6,8.1,476.6666666666666,3800.0
P100,135.13,50.0,19.6,9.5,476.6666666666666,4400.0
P101,32.44,50.0,21.4,2.5,476.6666666666666,1880.0
P102,50.6,50.0,21.4,3.9,476.6666666666666,2400.0
P103,68.77,50.0,21.4,5.3,476.6666666666666,2800.0
P104,86.94,50.0,21.4,6.699999999999999,476.6666666666666,3400.0
P105,105.1,50.0,21.4,8.1,476.6666666666666,3800.0
P106,123.27,50.0,21.4,9.5,476.6666666666666,4400.0
P107,29.88,50.0,23.2,2.5,476.6666666666666,1840.0
P108,46.62,50.0,23.2,3.9,476.6666666666666,2200.0
P109,63.35,50.0,23.2,5.3,476.6666666666666,2800.0
P110,80.09,50.0,23.2,6.699999999999999,476.6666666666666,3200.0
P111,96.82,50.0,23.2,8.1,476.6666666666666,3600.0
P112,113.55,50.0,23.2,9.5,476.6666666666666,4200.0
P113,27.88,50.0,25.0,2.5,476.6666666666666,1820.0
P114,43.5,50.0,25.0,3.9,476.6666666666666,2200.0
P115,59.11,50.0,25.0,5.3,476.6666666666666,2800.0
P116,74.72,50.0,25.0,6.699999999999999,476.6666666666666,3200.0
P117,90.34,50.0,25.0,8.1,476.6666666666666,3600.0
P118,105.95,50.0,25.0,9.5,476.6666666666666,4200.0
P119,59.44,50.0,16.0,2.5,552.5,2600.0
P120,92.72,50.0,16.0,3.9,552.5,3200.0
P121,126.01,50.0,16.0,5.3,552.5,4000.0
P122,159.3,50.0,16.0,6.699999999999999,552.5,4600.0
P123,192.58,50.0,16.0,8.1,552.5,5200.0
P124,225.87,50.0,16.0,9.5,552.5,6000.0
P125,53.4,50.0,17.8,2.5,552.5,2400.0
P126,83.31,50.0,17.8,3.9,552.5,3000.0
P127,113.22,50.0,17.8,5.3,552.5,3800.0
P128,143.12,50.0,17.8,6.699999999999999,552.5,4400.0
P129,173.03,50.0,17.8,8.1,552.5,5000.0
P130,202.93,50.0,17.8,9.5,552.5,5800.0
P131,48.49,50.0,19.6,2.5,552.5,2400.0
P132,75.65,50.0,19.6,3.9,552.5,3000.0
P133,102.8,50.0,19.6,5.3,552.5,3600.0
P134,129.95,50.0,19.6,6.699999999999999,552.5,4400.0
P135,157.11,50.0,19.6,8.1,552.5,5000.0
P136,184.26,50.0,19.6,9.5,552.5,5600.0
P137,44.37,50.0,21.4,2.5,552.5,2400.0
P138,69.22,50.0,21.4,3.9,552.5,2800.0
P139,94.07,50.0,21.4,5.3,552.5,3600.0
P140,118.92,50.0,21.4,6.699999999999999,552.5,4200.0
P141,143.76,50.0,21.4,8.1,552.5,4800.0
P142,168.61,50.0,21.4,9.5,552.5,5400.0
P143,41.0,50.0,23.2,2.5,552.5,2400.0
P144,63.96,50.0,23.2,3.9,552.5,2800.0
P145,86.92,50.0,23.2,5.3,552.5,3600.0
P146,109.87,50.0,23.2,6.699999999999999,552.5,4200.0
P147,132.83,50.0,23.2,8.1,552.5,4600.0
P148,155.79,50.0,23.2,9.5,552.5,5400.0
P149,37.9,50.0,25.0,2.5,552.5,2200.0
P150,59.12,50.0,25.0,3.9,552.5,2800.0
P151,80.34,50.0,25.0,5.3,552.5,3400.0
P152,101.56,50.0,25.0,6.699999999999999,552.5,4000.0
P153,122.78,50.0,25.0,8.1,552.5,4600.0
P154,144.0,50.0,25.0,9.5,552.5,5200.0
P155,77.66,50.0,16.0,2.5,628.3333333333333,3200.0
P156,121.15,50.0,16.0,3.9,628.3333333333333,4000.0
P157,164.64,50.0,16.0,5.3,628.3333333333333,4800.0
P158,208.13,50.0,16.0,6.699999999999999,628.3333333333333,5800.0
P159,251.62,50.0,16.0,8.1,628.3333333333333,6800.0
P160,295.11,50.0,16.0,9.5,628.3333333333333,7600.0
P161,69.9,50.0,17.8,2.5,628.3333333333333,3000.0
P162,109.04,50.0,17.8,3.9,628.3333333333333,3800.0
P163,148.19,50.0,17.8,5.3,628.3333333333333,4800.0
P164,187.33,50.0,17.8,6.699999999999999,628.3333333333333,5600.0
P165,226.48,50.0,17.8,8.1,628.3333333333333,6400.0
P166,265.62,50.0,17.8,9.5,628.3333333333333,7400.0
P167,63.42,50.0,19.6,2.5,628.3333333333333,3000.0
P168,98.94,50.0,19.6,3.9,628.3333333333333,3800.0
P169,134.46,50.0,19.6,5.3,628.3333333333333,4600.0
P170,169.97,50.0,19.6,6.699999999999999,628.3333333333333,5400.0
P171,205.49,50.0,19.6,8.1,628.3333333333333,6200.0
P172,241.01,50.0,19.6,9.5,628.3333333333333,7000.0
P173,57.99,50.0,21.4,2.5,628.3333333333333,3000.0
P174,90.46,50.0,21.4,3.9,628.3333333333333,3600.0
P175,122.93,50.0,21.4,5.3,628.3333333333333,4400.0
P176,155.4,50.0,21.4,6.699999999999999,628.3333333333333,5200.0
P177,187.87,50.0,21.4,8.1,628.3333333333333,6000.0
P178,220.35,50.0,21.4,9.5,628.3333333333333,6800.0
P179,53.57,50.0,23.2,2.5,628.3333333333333,2800.0
P180,83.57,50.0,23.2,3.9,628.3333333333333,3600.0
P181,113.57,50.0,23.2,5.3,628.3333333333333,4400.0
P182,143.57,50.0,23.2,6.699999999999999,628.3333333333333,5200.0
P183,173.57,50.0,23.2,8.1,628.3333333333333,5800.0
P184,203.57,50.0,23.2,9.5,628.3333333333333,6600.0
P185,49.68,50.0,25.0,2.5,628.3333333333333,2800.0
P186,77.5,50.0,25.0,3.9,628.3333333333333,3400.0
P187,105.31,50.0,25.0,5.3,628.3333333333333,4200.0
P188,133.13,50.0,25.0,6.699999999999999,628.3333333333333,5000.0
P189,160.95,50.0,25.0,8.1,628.3333333333333,5600.0
P190,188.77,50.0,25.0,9.5,628.3333333333333,6600.0
P191,98.52,50.0,16.0,2.5,704.1666666666666,3800.0
P192,153.69,50.0,16.0,3.9,704.1666666666666,4800.0
P193,208.86,50.0,16.0,5.3,704.1666666666666,5800.0
P194,264.03,50.0,16.0,6.699999999999999,704.1666666666666,7000.0
P195,319.21,50.0,16.0,8.1,704.1666666666666,8000.0
P196,374.38,50.0,16.0,9.5,704.1666666666666,9200.0
P197,88.49,50.0,17.8,2.5,704.1666666666666,3600.0
P198,138.05,50.0,17.8,3.9,704.1666666666666,4600.0
P199,187.61,50.0,17.8,5.3,704.1666666666666,5600.0
P200,237.16,50.0,17.8,6.699999999999999,704.1666666666666,6800.0
P201,286.72,50.0,17.8,8.1,704.1666666666666,7600.0
P202,336.28,50.0,17.8,9.5,704.1666666666666,8800.0
P203,80.36,50.0,19.6,2.5,704.1666666666666,3600.0
P204,125.35,50.0,19.6,3.9,704.1666666666666,4400.0
P205,170.35,50.0,19.6,5.3,704.1666666666666,5400.0
P206,215.35,50.0,19.6,6.699999999999999,704.1666666666666,6600.0
P207,260.35,50.0,19.6,8.1,704.1666666666666,7400.0
P208,305.35,50.0,19.6,9.5,704.1666666666666,8400.0
P209,73.62,50.0,21.4,2.5,704.1666666666666,3400.0
P210,114.84,50.0,21.4,3.9,704.1666666666666,4200.0
P211,156.07,50.0,21.4,5.3,704.1666666666666,5200.0
P212,197.29,50.0,21.4,6.699999999999999,704.1666666666666,6400.0
P213,238.52,50.0,21.4,8.1,704.1666666666666,7000.0
P214,279.74,50.0,21.4,9.5,704.1666666666666,8200.0
P215,67.97,50.0,23.2,2.5,704.1666666666666,3400.0
P216,106.03,50.0,23.2,3.9,704.1666666666666,4200.0
P217,144.09,50.0,23.2,5.3,704.1666666666666,5200.0
P218,182.15,50.0,23.2,6.699999999999999,704.1666666666666,6200.0
P219,220.21,50.0,23.2,8.1,704.1666666666666,6800.0
P220,258.27,50.0,23.2,9.5,704.1666666666666,8000.0
P221,63.03,50.0,25.0,2.5,704.1666666666666,3400.0
P222,98.32,50.0,25.0,3.9,704.1666666666666,4200.0
P223,133.62,50.0,25.0,5.3,704.1666666666666,5000.0
P224,168.92,50.0,25.0,6.699999999999999,704.1666666666666,6000.0
P225,204.21,50.0,25.0,8.1,704.1666666666666,6600.0
P226,239.51,50.0,25.0,9.5,704.1666666666666,7800.0
P227,121.77,50.0,16.0,2.5,780.0,4400.0
P228,189.96,50.0,16.0,3.9,780.0,5600.0
P229,258.15,50.0,16.0,5.3,780.0,7000.0
P230,326.34,50.0,16.0,6.699999999999999,780.0,8400.0
P231,394.53,50.0,16.0,8.1,780.0,9600.0
P232,462.72,50.0,16.0,9.5,780.0,10800.0
P233,109.46,50.0,17.8,2.5,780.0,4400.0
P234,170.76,50.0,17.8,3.9,780.0,5400.0
P235,232.06,50.0,17.8,5.3,780.0,6800.0
P236,293.36,50.0,17.8,6.699999999999999,780.0,8000.0
P237,354.66,50.0,17.8,8.1,780.0,9200.0
