tag,liq_volume,diameter,ss_distance,pressure,des_temp,oper_temp,sk_height,leg_height,aspect_ratio,surface_area_proxy_log,volume_proxy_log,weight_kg_log
P335,0.21205750411731106,0.3,3.0,100.0,60.0,45.0,,0.5,10.0,-0.1053605156578264,-1.3093333199837622,7.589335823170617
P336,0.21205750411731106,0.3,3.0,100.0,60.0,45.0,,1,10.0,-0.1053605156578264,-1.3093333199837622,7.594381242551817
P337,0.21205750411731106,0.3,3.0,100.0,60.0,45.0,,1.5,10.0,-0.1053605156578264,-1.3093333199837622,7.599401333415815
P351,0.21205750411731106,0.3,3.0,325.0,60.0,45.0,,0.5,10.0,-0.1053605156578264,-1.3093333199837622,7.5126175446745105
P352,0.21205750411731106,0.3,3.0,325.0,60.0,45.0,,1,10.0,-0.1053605156578264,-1.3093333199837622,7.518064181233078
P353,0.21205750411731106,0.3,3.0,325.0,60.0,45.0,,1.5,10.0,-0.1053605156578264,-1.3093333199837622,7.523481312573497
P354,0.21205750411731106,0.3,3.0,325.0,60.0,45.0,,2,10.0,-0.1053605156578264,-1.3093333199837622,7.528869256642251
P367,0.21205750411731106,0.3,3.0,550.0,60.0,45.0,,0.5,10.0,-0.1053605156578264,-1.3093333199837622,7.5126175446745105
P368,0.21205750411731106,0.3,3.0,550.0,60.0,45.0,,1,10.0,-0.1053605156578264,-1.3093333199837622,7.518064181233078
P369,0.21205750411731106,0.3,3.0,550.0,60.0,45.0,,1.5,10.0,-0.1053605156578264,-1.3093333199837622,7.523481312573497
P370,0.21205750411731106,0.3,3.0,550.0,60.0,45.0,,2,10.0,-0.1053605156578264,-1.3093333199837622,7.528869256642251
P383,0.21205750411731106,0.3,3.0,775.0,60.0,45.0,,0.5,10.0,-0.1053605156578264,-1.3093333199837622,7.5126175446745105
P384,0.21205750411731106,0.3,3.0,775.0,60.0,45.0,,1,10.0,-0.1053605156578264,-1.3093333199837622,7.518064181233078
P385,0.21205750411731106,0.3,3.0,775.0,60.0,45.0,,1.5,10.0,-0.1053605156578264,-1.3093333199837622,7.523481312573497
P386,0.21205750411731106,0.3,3.0,775.0,60.0,45.0,,2,10.0,-0.1053605156578264,-1.3093333199837622,7.528869256642251
P399,0.21205750411731106,0.3,3.0,1000.0,60.0,45.0,,0.5,10.0,-0.1053605156578264,-1.3093333199837622,7.5126175446745105
P400,0.21205750411731106,0.3,3.0,1000.0,60.0,45.0,,1,10.0,-0.1053605156578264,-1.3093333199837622,7.518064181233078
P401,0.21205750411731106,0.3,3.0,1000.0,60.0,45.0,,1.5,10.0,-0.1053605156578264,-1.3093333199837622,7.523481312573497
P402,0.21205750411731106,0.3,3.0,1000.0,60.0,45.0,,2,10.0,-0.1053605156578264,-1.3093333199837622,7.528869256642251
P495,0.2126465527398591,0.475,1.2,100.0,60.0,45.0,,0.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.520234556474628
P496,0.2126465527398591,0.475,1.2,100.0,60.0,45.0,,1,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.5310163320779155
P497,0.2126465527398591,0.475,1.2,100.0,60.0,45.0,,1.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.536363938404511
P498,0.2126465527398591,0.475,1.2,100.0,60.0,45.0,,2,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.5688956634069955
P511,0.2126465527398591,0.475,1.2,325.0,60.0,45.0,,0.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.444833273892193
P512,0.2126465527398591,0.475,1.2,325.0,60.0,45.0,,1,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.450660796211539
P513,0.2126465527398591,0.475,1.2,325.0,60.0,45.0,,1.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.456454555176209
P514,0.2126465527398591,0.475,1.2,325.0,60.0,45.0,,2,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.497207223203318
P527,0.2126465527398591,0.475,1.2,550.0,60.0,45.0,,0.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.444833273892193
P528,0.2126465527398591,0.475,1.2,550.0,60.0,45.0,,1,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.450660796211539
P529,0.2126465527398591,0.475,1.2,550.0,60.0,45.0,,1.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.456454555176209
P530,0.2126465527398591,0.475,1.2,550.0,60.0,45.0,,2,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.497207223203318
P543,0.2126465527398591,0.475,1.2,775.0,60.0,45.0,,0.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.444833273892193
P544,0.2126465527398591,0.475,1.2,775.0,60.0,45.0,,1,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.450660796211539
P545,0.2126465527398591,0.475,1.2,775.0,60.0,45.0,,1.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.456454555176209
P546,0.2126465527398591,0.475,1.2,775.0,60.0,45.0,,2,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.497207223203318
P559,0.2126465527398591,0.475,1.2,1000.0,60.0,45.0,,0.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.444833273892193
P560,0.2126465527398591,0.475,1.2,1000.0,60.0,45.0,,1,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.450660796211539
P561,0.2126465527398591,0.475,1.2,1000.0,60.0,45.0,,1.5,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.456454555176209
P562,0.2126465527398591,0.475,1.2,1000.0,60.0,45.0,,2,2.526315789473684,-0.5621189181535413,-1.306559393101037,7.497207223203318
P571,0.31896982910978866,0.475,1.8,100.0,-10.0,-25.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.941651252930556
P572,0.31896982910978866,0.475,1.8,100.0,-10.0,-25.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.94873845481361
P573,0.31896982910978866,0.475,1.8,100.0,-10.0,-25.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.970394907191429
P574,0.31896982910978866,0.475,1.8,100.0,-10.0,-25.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.973844375944687
P575,0.31896982910978866,0.475,1.8,100.0,60.0,45.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.5678626054638825
P576,0.31896982910978866,0.475,1.8,100.0,60.0,45.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.578145472419466
P577,0.31896982910978866,0.475,1.8,100.0,60.0,45.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.6093665379542115
P578,0.31896982910978866,0.475,1.8,100.0,60.0,45.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.614312146452
P579,0.31896982910978866,0.475,1.8,100.0,130.0,115.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.911690520708339
P580,0.31896982910978866,0.475,1.8,100.0,130.0,115.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.918992488165245
P581,0.31896982910978866,0.475,1.8,100.0,130.0,115.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.941295570906532
P582,0.31896982910978866,0.475,1.8,100.0,130.0,115.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.944846711001996
P583,0.31896982910978866,0.475,1.8,100.0,200.0,185.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.989899374942939
P584,0.31896982910978866,0.475,1.8,100.0,200.0,185.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.9966538754626075
P587,0.31896982910978866,0.475,1.8,325.0,-10.0,-25.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8655717576847906
P588,0.31896982910978866,0.475,1.8,325.0,-10.0,-25.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.86940171257709
P589,0.31896982910978866,0.475,1.8,325.0,-10.0,-25.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.89655270164304
P590,0.31896982910978866,0.475,1.8,325.0,-10.0,-25.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.900266036767701
P591,0.31896982910978866,0.475,1.8,325.0,60.0,45.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.494430215031565
P592,0.31896982910978866,0.475,1.8,325.0,60.0,45.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.4999765409521215
P593,0.31896982910978866,0.475,1.8,325.0,60.0,45.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.539027055823995
P594,0.31896982910978866,0.475,1.8,325.0,60.0,45.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.5443321080536885
P595,0.31896982910978866,0.475,1.8,325.0,130.0,115.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.845024417241484
P596,0.31896982910978866,0.475,1.8,325.0,130.0,115.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.848933726364071
P597,0.31896982910978866,0.475,1.8,325.0,130.0,115.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.876638460975463
P598,0.31896982910978866,0.475,1.8,325.0,130.0,115.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8804263442924
P599,0.31896982910978866,0.475,1.8,325.0,200.0,185.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.905072849498666
P600,0.31896982910978866,0.475,1.8,325.0,200.0,185.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.908754738783246
P601,0.31896982910978866,0.475,1.8,325.0,200.0,185.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.934871565945177
P602,0.31896982910978866,0.475,1.8,325.0,200.0,185.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.938445551164788
P603,0.31896982910978866,0.475,1.8,550.0,-10.0,-25.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8655717576847906
P604,0.31896982910978866,0.475,1.8,550.0,-10.0,-25.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.86940171257709
P605,0.31896982910978866,0.475,1.8,550.0,-10.0,-25.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.89655270164304
P606,0.31896982910978866,0.475,1.8,550.0,-10.0,-25.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.900266036767701
P607,0.31896982910978866,0.475,1.8,550.0,60.0,45.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.494430215031565
P608,0.31896982910978866,0.475,1.8,550.0,60.0,45.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.4999765409521215
P609,0.31896982910978866,0.475,1.8,550.0,60.0,45.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.539027055823995
P610,0.31896982910978866,0.475,1.8,550.0,60.0,45.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.5443321080536885
P611,0.31896982910978866,0.475,1.8,550.0,130.0,115.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.845024417241484
P612,0.31896982910978866,0.475,1.8,550.0,130.0,115.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.848933726364071
P613,0.31896982910978866,0.475,1.8,550.0,130.0,115.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.876638460975463
P614,0.31896982910978866,0.475,1.8,550.0,130.0,115.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8804263442924
P615,0.31896982910978866,0.475,1.8,550.0,200.0,185.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.905072849498666
P616,0.31896982910978866,0.475,1.8,550.0,200.0,185.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.908754738783246
P617,0.31896982910978866,0.475,1.8,550.0,200.0,185.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.934871565945177
P618,0.31896982910978866,0.475,1.8,550.0,200.0,185.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.938445551164788
P619,0.31896982910978866,0.475,1.8,775.0,-10.0,-25.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8655717576847906
P620,0.31896982910978866,0.475,1.8,775.0,-10.0,-25.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.86940171257709
P621,0.31896982910978866,0.475,1.8,775.0,-10.0,-25.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.89655270164304
P622,0.31896982910978866,0.475,1.8,775.0,-10.0,-25.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.900266036767701
P623,0.31896982910978866,0.475,1.8,775.0,60.0,45.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.494430215031565
P624,0.31896982910978866,0.475,1.8,775.0,60.0,45.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.4999765409521215
P625,0.31896982910978866,0.475,1.8,775.0,60.0,45.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.539027055823995
P626,0.31896982910978866,0.475,1.8,775.0,60.0,45.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.5443321080536885
P627,0.31896982910978866,0.475,1.8,775.0,130.0,115.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.845024417241484
P628,0.31896982910978866,0.475,1.8,775.0,130.0,115.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.848933726364071
P629,0.31896982910978866,0.475,1.8,775.0,130.0,115.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.876638460975463
P630,0.31896982910978866,0.475,1.8,775.0,130.0,115.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8804263442924
P631,0.31896982910978866,0.475,1.8,775.0,200.0,185.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.905072849498666
P632,0.31896982910978866,0.475,1.8,775.0,200.0,185.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.908754738783246
P633,0.31896982910978866,0.475,1.8,775.0,200.0,185.0,,1.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.934871565945177
P634,0.31896982910978866,0.475,1.8,775.0,200.0,185.0,,2,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.938445551164788
P635,0.31896982910978866,0.475,1.8,1000.0,-10.0,-25.0,,0.5,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.8655717576847906
P636,0.31896982910978866,0.475,1.8,1000.0,-10.0,-25.0,,1,3.7894736842105265,-0.15665381004537685,-0.9010942849928727,7.86940171257709
